threshold_25,threshold_50,threshold_75,accuracy,avg_flops_giga,exit_25_rate,exit_50_rate,exit_75_rate,dense_rate,exit_25_acc,exit_50_acc,exit_75_acc,dense_exit_acc,pareto_optimal
0.6,0.8,0.5,0.7868,0.783272,0.7622,0.1248,0.0866,0.0264,0.844398,0.692308,0.528868,0.416667,True
0.8,0.5,0.6,0.7868,0.829558,0.6118,0.333,0.0344,0.0208,0.907159,0.627027,0.465116,0.336538,False
0.9,0.3,0.7,0.7868,0.851214,0.502,0.4854,0.0068,0.0058,0.948606,0.629584,0.5,0.275862,False
0.7,0.6,0.3,0.7866,0.778554,0.6886,0.2334,0.0742,0.0038,0.877432,0.641817,0.415094,0.473684,True
0.9,0.3,0.6,0.7866,0.849919,0.502,0.4854,0.008,0.0046,0.948606,0.629584,0.45,0.26087,False
0.6,0.95,0.3,0.7864,0.809742,0.7622,0.0704,0.161,0.0064,0.844398,0.809659,0.51677,0.40625,False
0.95,0.4,0.3,0.7864,0.924117,0.418,0.5476,0.0324,0.002,0.962679,0.677867,0.388889,0.1,False
0.9,0.3,0.4,0.7862,0.846897,0.502,0.4854,0.0108,0.0018,0.948606,0.629584,0.351852,0.333333,False
0.6,0.9,0.4,0.786,0.795624,0.7622,0.0964,0.1268,0.0146,0.844398,0.73444,0.51735,0.410959,False
0.7,0.5,0.9,0.786,0.789772,0.6886,0.262,0.0118,0.0376,0.877432,0.61145,0.59322,0.388298,False
0.8,0.4,0.9,0.786,0.808846,0.6118,0.3584,0.0074,0.0224,0.907159,0.606585,0.648649,0.392857,False
0.9,0.3,0.5,0.786,0.848624,0.502,0.4854,0.0092,0.0034,0.948606,0.629584,0.391304,0.176471,False
0.9,0.3,0.3,0.7858,0.846033,0.502,0.4854,0.0116,0.001,0.948606,0.629584,0.344828,0.0,False
0.6,0.7,0.7,0.7856,0.77781,0.7622,0.1476,0.0502,0.04,0.844398,0.655827,0.569721,0.415,True
0.6,0.7,0.9,0.7856,0.802204,0.7622,0.1476,0.0276,0.0626,0.844398,0.655827,0.681159,0.421725,False
0.8,0.4,0.95,0.7856,0.812084,0.6118,0.3584,0.0044,0.0254,0.907159,0.606585,0.727273,0.393701,False
0.8,0.5,0.5,0.7856,0.822218,0.6118,0.333,0.0412,0.014,0.907159,0.627027,0.427184,0.3,False
0.6,0.7,0.6,0.7854,0.768958,0.7622,0.1476,0.0584,0.0318,0.844398,0.655827,0.554795,0.396226,True
0.6,0.7,0.8,0.7854,0.789467,0.7622,0.1476,0.0394,0.0508,0.844398,0.655827,0.614213,0.409449,False
0.7,0.5,0.8,0.7854,0.780489,0.6886,0.262,0.0204,0.029,0.877432,0.61145,0.509804,0.365517,False
0.7,0.5,0.95,0.7854,0.795169,0.6886,0.262,0.0068,0.0426,0.877432,0.61145,0.647059,0.389671,False
0.8,0.4,0.8,0.7852,0.804528,0.6118,0.3584,0.0114,0.0184,0.907159,0.606585,0.54386,0.358696,False
0.6,0.9,0.3,0.785,0.786125,0.7622,0.0964,0.1356,0.0058,0.844398,0.73444,0.50295,0.413793,False
0.7,0.5,0.7,0.785,0.774012,0.6886,0.262,0.0264,0.023,0.877432,0.61145,0.469697,0.356522,False
0.8,0.5,0.4,0.785,0.815309,0.6118,0.333,0.0476,0.0076,0.907159,0.627027,0.390756,0.342105,False
0.6,0.7,0.95,0.7848,0.813646,0.7622,0.1476,0.017,0.0732,0.844398,0.655827,0.741176,0.434426,False
0.8,0.4,0.7,0.7848,0.799994,0.6118,0.3584,0.0156,0.0142,0.907159,0.606585,0.474359,0.352113,False
0.8,0.5,0.3,0.7848,0.810776,0.6118,0.333,0.0518,0.0034,0.907159,0.627027,0.382239,0.352941,False
0.95,0.3,0.9,0.7848,0.912984,0.418,0.569,0.0038,0.0092,0.962679,0.662214,0.631579,0.347826,False
0.95,0.3,0.8,0.7846,0.910393,0.418,0.569,0.0062,0.0068,0.962679,0.662214,0.548387,0.294118,False
0.95,0.3,0.95,0.7846,0.914711,0.418,0.569,0.0022,0.0108,0.962679,0.662214,0.636364,0.37037,False
0.6,0.8,0.4,0.7844,0.769024,0.7622,0.1248,0.0998,0.0132,0.844398,0.692308,0.488978,0.424242,False
0.95,0.3,0.7,0.7844,0.909314,0.418,0.569,0.0072,0.0058,0.962679,0.662214,0.5,0.275862,False
0.95,0.3,0.6,0.7842,0.908018,0.418,0.569,0.0084,0.0046,0.962679,0.662214,0.452381,0.26087,False
0.7,0.5,0.6,0.784,0.768831,0.6886,0.262,0.0312,0.0182,0.877432,0.61145,0.442308,0.318681,True
0.8,0.4,0.6,0.784,0.796109,0.6118,0.3584,0.0192,0.0106,0.907159,0.606585,0.447917,0.283019,False
0.6,0.7,0.5,0.7838,0.757949,0.7622,0.1476,0.0686,0.0216,0.844398,0.655827,0.510204,0.388889,True
0.95,0.3,0.4,0.7838,0.904996,0.418,0.569,0.0112,0.0018,0.962679,0.662214,0.357143,0.333333,False
0.6,0.8,0.3,0.7836,0.760388,0.7622,0.1248,0.1078,0.0052,0.844398,0.692308,0.474954,0.461538,False
0.7,0.4,0.9,0.7836,0.750455,0.6886,0.285,0.0064,0.02,0.877432,0.588772,0.65625,0.37,True
0.95,0.3,0.5,0.7836,0.906723,0.418,0.569,0.0096,0.0034,0.962679,0.662214,0.395833,0.176471,False
0.8,0.4,0.4,0.7834,0.789416,0.6118,0.3584,0.0254,0.0044,0.907159,0.606585,0.370079,0.363636,False
0.8,0.4,0.5,0.7834,0.792654,0.6118,0.3584,0.0224,0.0074,0.907159,0.606585,0.410714,0.243243,False
0.95,0.3,0.3,0.7834,0.904133,0.418,0.569,0.012,0.001,0.962679,0.662214,0.35,0.0,False
0.7,0.4,0.95,0.7832,0.753693,0.6886,0.285,0.0034,0.023,0.877432,0.588772,0.764706,0.373913,False
0.7,0.5,0.5,0.783,0.763002,0.6886,0.262,0.0366,0.0128,0.877432,0.61145,0.398907,0.3125,False
0.7,0.4,0.8,0.7828,0.746353,0.6886,0.285,0.0102,0.0162,0.877432,0.588772,0.529412,0.333333,True
0.8,0.4,0.3,0.7826,0.78661,0.6118,0.3584,0.028,0.0018,0.907159,0.606585,0.357143,0.111111,False
0.7,0.4,0.7,0.7824,0.742036,0.6886,0.285,0.0142,0.0122,0.877432,0.588772,0.450704,0.327869,True
0.7,0.5,0.4,0.7824,0.756742,0.6886,0.262,0.0424,0.007,0.877432,0.61145,0.367925,0.342857,False
0.7,0.5,0.3,0.7822,0.75264,0.6886,0.262,0.0462,0.0032,0.877432,0.61145,0.359307,0.375,False
0.8,0.3,0.9,0.7822,0.778617,0.6118,0.376,0.0034,0.0088,0.907159,0.590426,0.647059,0.340909,False
0.8,0.3,0.7,0.782,0.775163,0.6118,0.376,0.0066,0.0056,0.907159,0.590426,0.515152,0.285714,False
0.8,0.3,0.8,0.782,0.776027,0.6118,0.376,0.0058,0.0064,0.907159,0.590426,0.551724,0.28125,False
0.8,0.3,0.95,0.782,0.780344,0.6118,0.376,0.0018,0.0104,0.907159,0.590426,0.666667,0.365385,False
0.6,0.6,0.9,0.7818,0.761101,0.7622,0.1736,0.0184,0.0458,0.844398,0.626728,0.619565,0.393013,False
0.6,0.7,0.4,0.7818,0.746723,0.7622,0.1476,0.079,0.0112,0.844398,0.655827,0.465823,0.410714,False
0.7,0.4,0.6,0.7818,0.738798,0.6886,0.285,0.0172,0.0092,0.877432,0.588772,0.418605,0.282609,True
0.8,0.3,0.6,0.7818,0.773868,0.6118,0.376,0.0078,0.0044,0.907159,0.590426,0.461538,0.272727,False
0.6,0.6,0.6,0.7816,0.737354,0.7622,0.1736,0.0404,0.0238,0.844398,0.626728,0.504951,0.369748,True
0.6,0.6,0.7,0.7816,0.742967,0.7622,0.1736,0.0352,0.029,0.844398,0.626728,0.522727,0.372414,False
0.6,0.6,0.95,0.7814,0.768873,0.7622,0.1736,0.0112,0.053,0.844398,0.626728,0.678571,0.403774,False
0.8,0.3,0.4,0.7814,0.770846,0.6118,0.376,0.0106,0.0016,0.907159,0.590426,0.358491,0.375,False
0.6,0.6,0.8,0.7812,0.750739,0.7622,0.1736,0.028,0.0362,0.844398,0.626728,0.557143,0.364641,False
0.7,0.4,0.4,0.7812,0.733185,0.6886,0.285,0.0224,0.004,0.877432,0.588772,0.348214,0.35,True
0.7,0.4,0.5,0.7812,0.735775,0.6886,0.285,0.02,0.0064,0.877432,0.588772,0.38,0.25,False
0.8,0.3,0.5,0.7812,0.772573,0.6118,0.376,0.009,0.0032,0.907159,0.590426,0.4,0.1875,False
0.6,0.7,0.3,0.781,0.739167,0.7622,0.1476,0.086,0.0042,0.844398,0.655827,0.451163,0.428571,False
0.8,0.3,0.3,0.781,0.769982,0.6118,0.376,0.0114,0.0008,0.907159,0.590426,0.350877,0.0,False
0.6,0.6,0.5,0.7806,0.729151,0.7622,0.1736,0.048,0.0162,0.844398,0.626728,0.458333,0.382716,False
0.7,0.3,0.9,0.7806,0.723112,0.6886,0.3008,0.003,0.0076,0.877432,0.571144,0.666667,0.342105,True
0.7,0.4,0.3,0.7806,0.730594,0.6886,0.285,0.0248,0.0016,0.877432,0.588772,0.33871,0.125,False
0.7,0.3,0.7,0.7804,0.719874,0.6886,0.3008,0.006,0.0046,0.877432,0.571144,0.5,0.304348,True
0.7,0.3,0.8,0.7804,0.720738,0.6886,0.3008,0.0052,0.0054,0.877432,0.571144,0.538462,0.296296,False
0.7,0.3,0.95,0.7804,0.724839,0.6886,0.3008,0.0014,0.0092,0.877432,0.571144,0.714286,0.369565,False
0.7,0.3,0.6,0.7802,0.718795,0.6886,0.3008,0.007,0.0036,0.877432,0.571144,0.428571,0.333333,True
0.6,0.6,0.4,0.7798,0.720731,0.7622,0.1736,0.0558,0.0084,0.844398,0.626728,0.422939,0.452381,False
0.7,0.3,0.4,0.7798,0.71642,0.6886,0.3008,0.0092,0.0014,0.877432,0.571144,0.347826,0.428571,True
0.7,0.3,0.5,0.7796,0.717715,0.6886,0.3008,0.008,0.0026,0.877432,0.571144,0.375,0.230769,False
0.7,0.3,0.3,0.7794,0.715556,0.6886,0.3008,0.01,0.0006,0.877432,0.571144,0.34,0.0,True
0.6,0.6,0.3,0.779,0.71555,0.7622,0.1736,0.0606,0.0036,0.844398,0.626728,0.409241,0.5,True
0.5,0.95,0.8,0.7786,0.773045,0.8388,0.0444,0.0542,0.0626,0.811159,0.815315,0.653137,0.42492,False
0.5,0.95,0.6,0.7782,0.747139,0.8388,0.0444,0.0782,0.0386,0.811159,0.815315,0.588235,0.404145,False
0.5,0.95,0.7,0.778,0.758581,0.8388,0.0444,0.0676,0.0492,0.811159,0.815315,0.606509,0.414634,False
0.5,0.95,0.9,0.778,0.791179,0.8388,0.0444,0.0374,0.0794,0.811159,0.815315,0.684492,0.450882,False
0.5,0.95,0.95,0.7776,0.804995,0.8388,0.0444,0.0246,0.0922,0.811159,0.815315,0.739837,0.464208,False
0.6,0.5,0.9,0.777,0.726024,0.7622,0.1962,0.0098,0.0318,0.844398,0.590214,0.571429,0.377358,False
0.5,0.9,0.6,0.7768,0.727234,0.8388,0.0618,0.065,0.0344,0.811159,0.71521,0.587692,0.406977,False
0.5,0.9,0.8,0.7768,0.749901,0.8388,0.0618,0.044,0.0554,0.811159,0.71521,0.654545,0.422383,False
0.5,0.95,0.5,0.7768,0.734618,0.8388,0.0444,0.0898,0.027,0.811159,0.815315,0.552339,0.392593,False
0.6,0.5,0.95,0.7764,0.730773,0.7622,0.1962,0.0054,0.0362,0.844398,0.590214,0.592593,0.381215,False
0.5,0.9,0.7,0.7762,0.736301,0.8388,0.0618,0.0566,0.0428,0.811159,0.71521,0.600707,0.411215,False
0.5,0.9,0.9,0.7762,0.764581,0.8388,0.0618,0.0304,0.069,0.811159,0.71521,0.697368,0.44058,False
0.6,0.5,0.7,0.7762,0.712207,0.7622,0.1962,0.0226,0.019,0.844398,0.590214,0.469027,0.326316,True
0.6,0.5,0.8,0.7762,0.717389,0.7622,0.1962,0.0178,0.0238,0.844398,0.590214,0.494382,0.336134,False
0.5,0.9,0.95,0.7758,0.776886,0.8388,0.0618,0.019,0.0804,0.811159,0.71521,0.768421,0.455224,False
0.5,0.8,0.6,0.7756,0.708212,0.8388,0.0782,0.0528,0.0302,0.811159,0.670077,0.575758,0.410596,True
0.5,0.8,0.8,0.7754,0.72613,0.8388,0.0782,0.0362,0.0468,0.811159,0.670077,0.635359,0.418803,False
0.5,0.95,0.4,0.7754,0.720586,0.8388,0.0444,0.1028,0.014,0.811159,0.815315,0.519455,0.385714,False
0.6,0.4,0.9,0.7754,0.692125,0.7622,0.216,0.0052,0.0166,0.844398,0.566667,0.653846,0.361446,True
0.6,0.5,0.6,0.7754,0.708322,0.7622,0.1962,0.0262,0.0154,0.844398,0.590214,0.435115,0.298701,False
0.5,0.9,0.5,0.7752,0.715792,0.8388,0.0618,0.0756,0.0238,0.811159,0.71521,0.547619,0.386555,False
0.5,0.8,0.9,0.775,0.738004,0.8388,0.0782,0.0252,0.0578,0.811159,0.670077,0.690476,0.429066,False
0.6,0.4,0.95,0.775,0.694931,0.7622,0.216,0.0026,0.0192,0.844398,0.566667,0.769231,0.364583,False
0.5,0.8,0.7,0.7746,0.715336,0.8388,0.0782,0.0462,0.0368,0.811159,0.670077,0.575758,0.413043,False
0.5,0.8,0.95,0.7746,0.747934,0.8388,0.0782,0.016,0.067,0.811159,0.670077,0.775,0.438806,False
0.5,0.95,0.3,0.7746,0.71195,0.8388,0.0444,0.1108,0.006,0.811159,0.815315,0.501805,0.4,False
0.6,0.4,0.7,0.7744,0.685001,0.7622,0.216,0.0118,0.01,0.844398,0.566667,0.457627,0.3,True
0.6,0.4,0.8,0.7744,0.688455,0.7622,0.216,0.0086,0.0132,0.844398,0.566667,0.511628,0.30303,False
0.6,0.5,0.5,0.7744,0.704004,0.7622,0.1962,0.0302,0.0114,0.844398,0.590214,0.384106,0.298246,False
0.6,0.5,0.4,0.7742,0.698607,0.7622,0.1962,0.0352,0.0064,0.844398,0.590214,0.357955,0.34375,False
0.6,0.5,0.3,0.774,0.694937,0.7622,0.1962,0.0386,0.003,0.844398,0.590214,0.34715,0.4,False
0.5,0.8,0.5,0.7738,0.698929,0.8388,0.0782,0.0614,0.0216,0.811159,0.670077,0.530945,0.388889,False
0.5,0.9,0.4,0.7738,0.703487,0.8388,0.0618,0.087,0.0124,0.811159,0.71521,0.510345,0.387097,False
0.6,0.4,0.6,0.7738,0.682626,0.7622,0.216,0.014,0.0078,0.844398,0.566667,0.414286,0.25641,True
0.6,0.3,0.9,0.7734,0.670808,0.7622,0.2284,0.0024,0.007,0.844398,0.549912,0.666667,0.371429,True
0.5,0.9,0.3,0.7732,0.695931,0.8388,0.0618,0.094,0.0054,0.811159,0.71521,0.493617,0.407407,False
0.6,0.3,0.95,0.7732,0.672103,0.7622,0.2284,0.0012,0.0082,0.844398,0.549912,0.666667,0.390244,False
0.6,0.4,0.4,0.7732,0.677877,0.7622,0.216,0.0184,0.0034,0.844398,0.566667,0.326087,0.352941,False
0.6,0.4,0.5,0.7732,0.680467,0.7622,0.216,0.016,0.0058,0.844398,0.566667,0.3625,0.241379,False
0.6,0.3,0.7,0.773,0.667786,0.7622,0.2284,0.0052,0.0042,0.844398,0.549912,0.461538,0.333333,True
0.6,0.3,0.8,0.773,0.668649,0.7622,0.2284,0.0044,0.005,0.844398,0.549912,0.5,0.32,False
0.5,0.7,0.6,0.7728,0.688111,0.8388,0.0946,0.0416,0.025,0.811159,0.630021,0.5625,0.376,False
0.5,0.7,0.8,0.7728,0.701496,0.8388,0.0946,0.0292,0.0374,0.811159,0.630021,0.609589,0.40107,False
0.6,0.3,0.6,0.7728,0.666922,0.7622,0.2284,0.006,0.0034,0.844398,0.549912,0.4,0.352941,True
0.5,0.8,0.4,0.7726,0.687919,0.8388,0.0782,0.0716,0.0114,0.811159,0.670077,0.49162,0.403509,False
0.6,0.4,0.3,0.7726,0.675718,0.7622,0.216,0.0204,0.0014,0.844398,0.566667,0.313726,0.142857,False
0.5,0.7,0.9,0.7724,0.710778,0.8388,0.0946,0.0206,0.046,0.811159,0.630021,0.660194,0.408696,False
0.6,0.3,0.4,0.7724,0.664548,0.7622,0.2284,0.0082,0.0012,0.844398,0.549912,0.317073,0.5,True
0.5,0.7,0.7,0.7722,0.693724,0.8388,0.0946,0.0364,0.0302,0.811159,0.630021,0.565934,0.384106,False
0.6,0.3,0.5,0.7722,0.665843,0.7622,0.2284,0.007,0.0024,0.844398,0.549912,0.342857,0.25,False
0.5,0.7,0.95,0.772,0.718766,0.8388,0.0946,0.0132,0.0534,0.811159,0.630021,0.727273,0.419476,False
0.5,0.8,0.3,0.772,0.680795,0.8388,0.0782,0.0782,0.0048,0.811159,0.670077,0.473146,0.458333,False
0.6,0.3,0.3,0.772,0.6639,0.7622,0.2284,0.0088,0.0006,0.844398,0.549912,0.318182,0.0,True
0.5,0.7,0.5,0.7716,0.680555,0.8388,0.0946,0.0486,0.018,0.811159,0.630021,0.514403,0.366667,False
0.5,0.7,0.4,0.7704,0.671272,0.8388,0.0946,0.0572,0.0094,0.811159,0.630021,0.468531,0.382979,False
0.5,0.6,0.6,0.7702,0.666263,0.8388,0.112,0.0302,0.019,0.811159,0.603571,0.509934,0.357895,False
0.5,0.7,0.3,0.7698,0.665227,0.8388,0.0946,0.0628,0.0038,0.811159,0.630021,0.449045,0.421053,False
0.5,0.6,0.7,0.7696,0.669501,0.8388,0.112,0.0272,0.022,0.811159,0.603571,0.514706,0.345455,False
0.5,0.6,0.8,0.7696,0.67533,0.8388,0.112,0.0218,0.0274,0.811159,0.603571,0.550459,0.350365,False
0.5,0.6,0.9,0.7696,0.683102,0.8388,0.112,0.0146,0.0346,0.811159,0.603571,0.60274,0.369942,False
0.5,0.6,0.95,0.7696,0.689362,0.8388,0.112,0.0088,0.0404,0.811159,0.603571,0.659091,0.391089,False
0.5,0.6,0.5,0.7692,0.660434,0.8388,0.112,0.0356,0.0136,0.811159,0.603571,0.455056,0.367647,True
0.5,0.6,0.4,0.7688,0.65331,0.8388,0.112,0.0422,0.007,0.811159,0.603571,0.421801,0.428571,True
0.5,0.6,0.3,0.7682,0.649208,0.8388,0.112,0.046,0.0032,0.811159,0.603571,0.404348,0.5,True
0.5,0.5,0.8,0.7662,0.649419,0.8388,0.1296,0.0138,0.0178,0.811159,0.563272,0.521739,0.314607,False
0.5,0.5,0.9,0.7662,0.65568,0.8388,0.1296,0.008,0.0236,0.811159,0.563272,0.6,0.338983,False
0.5,0.5,0.6,0.7658,0.644238,0.8388,0.1296,0.0186,0.013,0.811159,0.563272,0.462366,0.292308,True
0.5,0.5,0.7,0.7658,0.645965,0.8388,0.1296,0.017,0.0146,0.811159,0.563272,0.482353,0.287671,False
0.5,0.5,0.95,0.7658,0.65935,0.8388,0.1296,0.0046,0.027,0.811159,0.563272,0.608696,0.355556,False
0.5,0.5,0.4,0.765,0.636035,0.8388,0.1296,0.0262,0.0054,0.811159,0.563272,0.374046,0.333333,True
0.5,0.5,0.5,0.765,0.640784,0.8388,0.1296,0.0218,0.0098,0.811159,0.563272,0.40367,0.285714,False
0.5,0.5,0.3,0.7648,0.633012,0.8388,0.1296,0.029,0.0026,0.811159,0.563272,0.358621,0.384615,True
0.5,0.4,0.9,0.7638,0.628592,0.8388,0.1456,0.004,0.0116,0.811159,0.531593,0.65,0.293103,True
0.5,0.4,0.8,0.7636,0.626217,0.8388,0.1456,0.0062,0.0094,0.811159,0.531593,0.548387,0.255319,True
0.5,0.4,0.95,0.7636,0.630535,0.8388,0.1456,0.0022,0.0134,0.811159,0.531593,0.727273,0.313433,False
0.5,0.4,0.7,0.7634,0.623843,0.8388,0.1456,0.0084,0.0072,0.811159,0.531593,0.47619,0.222222,True
0.5,0.4,0.6,0.7632,0.622979,0.8388,0.1456,0.0092,0.0064,0.811159,0.531593,0.434783,0.21875,True
0.5,0.3,0.8,0.763,0.612929,0.8388,0.1538,0.0036,0.0038,0.811159,0.517555,0.555556,0.263158,True
0.5,0.4,0.4,0.763,0.619309,0.8388,0.1456,0.0126,0.003,0.811159,0.531593,0.333333,0.333333,False
0.5,0.3,0.6,0.7628,0.611849,0.8388,0.1538,0.0046,0.0028,0.811159,0.517555,0.434783,0.285714,True
0.5,0.3,0.7,0.7628,0.612281,0.8388,0.1538,0.0042,0.0032,0.811159,0.517555,0.47619,0.25,False
0.5,0.3,0.9,0.7628,0.61444,0.8388,0.1538,0.0022,0.0052,0.811159,0.517555,0.636364,0.269231,False
0.5,0.3,0.95,0.7628,0.615519,0.8388,0.1538,0.0012,0.0062,0.811159,0.517555,0.666667,0.322581,False
0.5,0.4,0.5,0.7628,0.621252,0.8388,0.1456,0.0108,0.0048,0.811159,0.531593,0.37037,0.208333,False
0.5,0.3,0.4,0.7626,0.609906,0.8388,0.1538,0.0064,0.001,0.811159,0.517555,0.34375,0.4,True
0.5,0.3,0.3,0.7624,0.609474,0.8388,0.1538,0.0068,0.0006,0.811159,0.517555,0.352941,0.0,True
0.5,0.3,0.5,0.7624,0.610986,0.8388,0.1538,0.0054,0.002,0.811159,0.517555,0.37037,0.2,False
0.5,0.4,0.3,0.7624,0.617582,0.8388,0.1456,0.0142,0.0014,0.811159,0.531593,0.309859,0.142857,False
0.4,0.95,0.9,0.762,0.671726,0.9064,0.023,0.021,0.0496,0.781112,0.747826,0.647619,0.467742,False
0.4,0.95,0.8,0.7618,0.660716,0.9064,0.023,0.0312,0.0394,0.781112,0.747826,0.621795,0.436548,False
0.4,0.9,0.8,0.7616,0.648703,0.9064,0.0322,0.0256,0.0358,0.781112,0.658385,0.640625,0.446927,False
0.4,0.9,0.9,0.7614,0.657338,0.9064,0.0322,0.0176,0.0438,0.781112,0.658385,0.670455,0.465753,False
0.4,0.95,0.7,0.7612,0.651002,0.9064,0.023,0.0402,0.0304,0.781112,0.747826,0.59204,0.401316,False
0.4,0.95,0.95,0.7612,0.67885,0.9064,0.023,0.0144,0.0562,0.781112,0.747826,0.680556,0.466192,False
0.4,0.9,0.7,0.761,0.63942,0.9064,0.0322,0.0342,0.0272,0.781112,0.658385,0.608187,0.404412,False
0.4,0.9,0.6,0.7608,0.634239,0.9064,0.0322,0.039,0.0224,0.781112,0.658385,0.584615,0.392857,False
0.4,0.95,0.6,0.7608,0.645605,0.9064,0.023,0.0452,0.0254,0.781112,0.747826,0.570796,0.385827,False
0.4,0.9,0.95,0.7606,0.663599,0.9064,0.0322,0.0118,0.0496,0.781112,0.658385,0.728814,0.459677,False
0.4,0.95,0.5,0.76,0.637617,0.9064,0.023,0.0526,0.018,0.781112,0.747826,0.532319,0.377778,False
0.4,0.9,0.5,0.7598,0.626899,0.9064,0.0322,0.0458,0.0156,0.781112,0.658385,0.541485,0.371795,False
0.4,0.95,0.4,0.7598,0.628766,0.9064,0.023,0.0608,0.0098,0.781112,0.747826,0.5,0.428571,False
0.4,0.8,0.8,0.7596,0.632293,0.9064,0.0432,0.0208,0.0296,0.781112,0.611111,0.605769,0.425676,False
0.4,0.8,0.9,0.7596,0.639201,0.9064,0.0432,0.0144,0.036,0.781112,0.611111,0.652778,0.438889,False
0.4,0.9,0.4,0.7594,0.619559,0.9064,0.0322,0.0526,0.0088,0.781112,0.658385,0.501901,0.431818,False
0.4,0.8,0.6,0.759,0.621715,0.9064,0.0432,0.0306,0.0198,0.781112,0.611111,0.555556,0.383838,False
0.4,0.8,0.7,0.7588,0.625601,0.9064,0.0432,0.027,0.0234,0.781112,0.611111,0.57037,0.384615,False
0.4,0.8,0.95,0.7588,0.644598,0.9064,0.0432,0.0094,0.041,0.781112,0.611111,0.723404,0.429268,False
0.4,0.95,0.3,0.7588,0.622505,0.9064,0.023,0.0666,0.004,0.781112,0.747826,0.477477,0.45,False
0.4,0.7,0.9,0.7586,0.624519,0.9064,0.052,0.012,0.0296,0.781112,0.592308,0.616667,0.418919,False
0.4,0.7,0.8,0.7584,0.61869,0.9064,0.052,0.0174,0.0242,0.781112,0.592308,0.563218,0.404959,False
0.4,0.9,0.3,0.7584,0.614162,0.9064,0.0322,0.0576,0.0038,0.781112,0.658385,0.479167,0.421053,False
0.4,0.7,0.6,0.758,0.610487,0.9064,0.052,0.025,0.0166,0.781112,0.592308,0.528,0.361446,False
0.4,0.7,0.95,0.758,0.629052,0.9064,0.052,0.0078,0.0338,0.781112,0.592308,0.666667,0.414201,False
0.4,0.8,0.5,0.758,0.615886,0.9064,0.0432,0.036,0.0144,0.781112,0.611111,0.511111,0.361111,False
0.4,0.7,0.7,0.7578,0.613725,0.9064,0.052,0.022,0.0196,0.781112,0.592308,0.545455,0.357143,False
0.4,0.8,0.4,0.7578,0.608978,0.9064,0.0432,0.0424,0.008,0.781112,0.611111,0.466981,0.45,True
0.4,0.7,0.5,0.7574,0.605953,0.9064,0.052,0.0292,0.0124,0.781112,0.592308,0.486301,0.354839,True
0.4,0.7,0.4,0.7572,0.599692,0.9064,0.052,0.035,0.0066,0.781112,0.592308,0.44,0.454545,True
0.4,0.8,0.3,0.7568,0.604013,0.9064,0.0432,0.047,0.0034,0.781112,0.611111,0.442553,0.470588,False
0.4,0.7,0.3,0.7562,0.595375,0.9064,0.052,0.039,0.0026,0.781112,0.592308,0.415385,0.461538,True
0.4,0.6,0.4,0.7552,0.588248,0.9064,0.063,0.0256,0.005,0.781112,0.549206,0.390625,0.52,True
0.4,0.6,0.6,0.755,0.596235,0.9064,0.063,0.0182,0.0124,0.781112,0.549206,0.461538,0.322581,False
0.4,0.6,0.9,0.755,0.606382,0.9064,0.063,0.0088,0.0218,0.781112,0.549206,0.522727,0.357798,False
0.4,0.6,0.95,0.7548,0.609836,0.9064,0.063,0.0056,0.025,0.781112,0.549206,0.571429,0.36,False
0.4,0.6,0.5,0.7546,0.593213,0.9064,0.063,0.021,0.0096,0.781112,0.549206,0.419048,0.333333,False
0.4,0.6,0.7,0.7546,0.598178,0.9064,0.063,0.0164,0.0142,0.781112,0.549206,0.463415,0.309859,False
0.4,0.6,0.8,0.7546,0.601632,0.9064,0.063,0.0132,0.0174,0.781112,0.549206,0.469697,0.333333,False
0.4,0.6,0.3,0.7544,0.585225,0.9064,0.063,0.0284,0.0022,0.781112,0.549206,0.373239,0.545455,True
0.4,0.5,0.9,0.754,0.588853,0.9064,0.0738,0.0054,0.0144,0.781112,0.517615,0.481481,0.361111,False
0.4,0.5,0.95,0.7538,0.591444,0.9064,0.0738,0.003,0.0168,0.781112,0.517615,0.533333,0.357143,False
0.4,0.5,0.8,0.7536,0.584967,0.9064,0.0738,0.009,0.0108,0.781112,0.517615,0.422222,0.333333,True
0.4,0.5,0.7,0.7532,0.58324,0.9064,0.0738,0.0106,0.0092,0.781112,0.517615,0.415094,0.282609,True
0.4,0.5,0.6,0.753,0.582377,0.9064,0.0738,0.0114,0.0084,0.781112,0.517615,0.385965,0.285714,True
0.4,0.4,0.9,0.7528,0.573346,0.9064,0.0828,0.0034,0.0074,0.781112,0.485507,0.588235,0.351351,True
0.4,0.4,0.95,0.7528,0.574858,0.9064,0.0828,0.002,0.0088,0.781112,0.485507,0.7,0.363636,False
0.4,0.5,0.4,0.7528,0.577195,0.9064,0.0738,0.0162,0.0036,0.781112,0.517615,0.308642,0.444444,False
0.4,0.4,0.8,0.7526,0.572267,0.9064,0.0828,0.0044,0.0064,0.781112,0.485507,0.545455,0.3125,True
0.4,0.4,0.7,0.7524,0.570972,0.9064,0.0828,0.0056,0.0052,0.781112,0.485507,0.5,0.269231,True
0.4,0.5,0.3,0.7524,0.575253,0.9064,0.0738,0.018,0.0018,0.781112,0.517615,0.3,0.444444,False
0.4,0.5,0.5,0.7524,0.58065,0.9064,0.0738,0.013,0.0068,0.781112,0.517615,0.338462,0.264706,False
