threshold_25,threshold_50,threshold_75,accuracy,avg_flops_giga,exit_25_rate,exit_50_rate,exit_75_rate,dense_rate,exit_25_acc,exit_50_acc,exit_75_acc,dense_exit_acc,pareto_optimal
0.95,0.8,0.5,0.8088,1.115436,0.418,0.376,0.1672,0.0388,0.962679,0.786702,0.561005,0.43299,False
0.95,0.95,0.3,0.8086,1.188751,0.418,0.2566,0.3164,0.009,0.962679,0.874513,0.563843,0.377778,False
0.9,0.7,0.7,0.8084,1.030708,0.502,0.3504,0.086,0.0616,0.948606,0.724315,0.588372,0.451299,True
0.9,0.7,0.8,0.8084,1.04949,0.502,0.3504,0.0686,0.079,0.948606,0.724315,0.632653,0.443038,False
0.9,0.7,0.95,0.8084,1.086837,0.502,0.3504,0.034,0.1136,0.948606,0.724315,0.752941,0.464789,False
0.9,0.8,0.5,0.808,1.043811,0.502,0.306,0.1546,0.0374,0.948606,0.756863,0.544631,0.427807,False
0.9,0.7,0.6,0.8078,1.016892,0.502,0.3504,0.0988,0.0488,0.948606,0.724315,0.57085,0.438525,True
0.95,0.9,0.4,0.8078,1.153331,0.418,0.3116,0.2492,0.0212,0.962679,0.826701,0.558587,0.40566,False
0.8,0.9,0.7,0.8076,1.04044,0.6118,0.172,0.1318,0.0844,0.907159,0.763954,0.628225,0.454976,False
0.8,0.9,0.95,0.8074,1.127656,0.6118,0.172,0.051,0.1652,0.907159,0.763954,0.780392,0.491525,False
0.9,0.95,0.3,0.8074,1.10888,0.502,0.1974,0.2918,0.0088,0.948606,0.852077,0.547635,0.363636,False
0.8,0.95,0.5,0.8072,1.033072,0.6118,0.1322,0.211,0.045,0.907159,0.827534,0.585782,0.426667,False
0.8,0.9,0.6,0.8068,1.018852,0.6118,0.172,0.1518,0.0644,0.907159,0.763954,0.606061,0.440994,False
0.9,0.9,0.4,0.8064,1.077622,0.502,0.2472,0.2302,0.0206,0.948606,0.797735,0.542137,0.398058,False
0.95,0.9,0.3,0.806,1.138867,0.418,0.3116,0.2626,0.0078,0.962679,0.826701,0.545316,0.358974,False
0.95,0.7,0.5,0.8058,1.064828,0.418,0.424,0.1268,0.0312,0.962679,0.75566,0.553628,0.410256,False
0.8,0.8,0.9,0.8052,1.028062,0.6118,0.2212,0.0538,0.1132,0.907159,0.719711,0.713755,0.464664,False
0.95,0.8,0.4,0.805,1.093416,0.418,0.376,0.1876,0.0184,0.962679,0.786702,0.529851,0.402174,False
0.9,0.7,0.5,0.8048,0.996599,0.502,0.3504,0.1176,0.03,0.948606,0.724315,0.534014,0.4,True
0.8,0.8,0.8,0.8046,1.003236,0.6118,0.2212,0.0768,0.0902,0.907159,0.719711,0.645833,0.452328,False
0.9,0.9,0.3,0.8046,1.06359,0.502,0.2472,0.2432,0.0076,0.948606,0.797735,0.528783,0.342105,False
0.7,0.95,0.8,0.8044,1.008445,0.6886,0.1,0.1038,0.1076,0.877432,0.82,0.666667,0.45539,False
0.8,0.8,0.95,0.8044,1.046196,0.6118,0.2212,0.037,0.13,0.907159,0.719711,0.772973,0.473846,False
0.8,0.8,0.7,0.8042,0.980352,0.6118,0.2212,0.098,0.069,0.907159,0.719711,0.595918,0.457971,True
0.9,0.8,0.4,0.8042,1.02287,0.502,0.306,0.174,0.018,0.948606,0.756863,0.512644,0.4,False
0.7,0.95,0.7,0.804,0.980813,0.6886,0.1,0.1294,0.082,0.877432,0.82,0.62442,0.451219,False
0.7,0.95,0.9,0.8038,1.041259,0.6886,0.1,0.0734,0.138,0.877432,0.82,0.716621,0.471014,False
0.8,0.8,0.6,0.8038,0.965025,0.6118,0.2212,0.1122,0.0548,0.907159,0.719711,0.582888,0.441606,True
0.8,0.9,0.5,0.8038,0.991651,0.6118,0.172,0.177,0.0392,0.907159,0.763954,0.570621,0.418367,False
0.95,0.8,0.3,0.8036,1.080895,0.418,0.376,0.1992,0.0068,0.962679,0.786702,0.517068,0.352941,False
0.7,0.95,0.6,0.8034,0.959224,0.6886,0.1,0.1494,0.062,0.877432,0.82,0.60241,0.43871,True
0.8,0.95,0.4,0.803,1.007814,0.6118,0.1322,0.2344,0.0216,0.907159,0.827534,0.555461,0.388889,False
0.9,0.8,0.3,0.8028,1.010781,0.502,0.306,0.1852,0.0068,0.948606,0.756863,0.5,0.352941,False
0.7,0.95,0.95,0.8026,1.066302,0.6886,0.1,0.0502,0.1612,0.877432,0.82,0.772908,0.48139,False
0.95,0.7,0.4,0.8026,1.047557,0.418,0.424,0.1428,0.0152,0.962679,0.75566,0.516807,0.394737,False
0.7,0.9,0.8,0.8024,0.964691,0.6886,0.1334,0.0836,0.0944,0.877432,0.751124,0.657895,0.455508,False
0.7,0.9,0.9,0.8024,0.992324,0.6886,0.1334,0.058,0.12,0.877432,0.751124,0.717241,0.47,False
0.95,0.6,0.9,0.802,1.065775,0.418,0.474,0.035,0.073,0.962679,0.724051,0.702857,0.435616,False
0.7,0.9,0.7,0.8016,0.94008,0.6886,0.1334,0.1064,0.0716,0.877432,0.751124,0.614662,0.444134,True
0.7,0.9,0.95,0.8016,1.01348,0.6886,0.1334,0.0384,0.1396,0.877432,0.751124,0.776042,0.482808,False
0.9,0.7,0.4,0.8016,0.980408,0.502,0.3504,0.1326,0.015,0.948606,0.724315,0.496229,0.386667,False
0.95,0.7,0.3,0.8016,1.036979,0.418,0.424,0.1526,0.0054,0.962679,0.75566,0.504587,0.333333,False
0.8,0.7,0.9,0.8014,0.966996,0.6118,0.2588,0.042,0.0874,0.907159,0.690108,0.695238,0.441648,False
0.8,0.95,0.3,0.8014,0.993349,0.6118,0.1322,0.2478,0.0082,0.907159,0.827534,0.540759,0.365854,False
0.9,0.6,0.9,0.8014,0.999216,0.502,0.3968,0.0308,0.0704,0.948606,0.691028,0.675325,0.428977,False
0.95,0.6,0.95,0.8012,1.077217,0.418,0.474,0.0244,0.0836,0.962679,0.724051,0.762295,0.442584,False
0.7,0.9,0.6,0.801,0.92173,0.6886,0.1334,0.1234,0.0546,0.877432,0.751124,0.593193,0.428571,True
0.7,0.95,0.5,0.801,0.935693,0.6886,0.1,0.1712,0.0402,0.877432,0.82,0.573598,0.412935,False
0.95,0.6,0.7,0.801,1.037063,0.418,0.474,0.0616,0.0464,0.962679,0.724051,0.577922,0.426724,False
0.95,0.6,0.8,0.801,1.05088,0.418,0.474,0.0488,0.0592,0.962679,0.724051,0.631148,0.415541,False
0.8,0.7,0.7,0.8008,0.931808,0.6118,0.2588,0.0746,0.0548,0.907159,0.690108,0.579088,0.437956,False
0.8,0.8,0.5,0.8008,0.942789,0.6118,0.2212,0.1328,0.0342,0.907159,0.719711,0.543675,0.421053,False
0.8,0.7,0.95,0.8006,0.981029,0.6118,0.2588,0.029,0.1004,0.907159,0.690108,0.751724,0.450199,False
0.9,0.6,0.95,0.8006,1.010442,0.502,0.3968,0.0204,0.0808,0.948606,0.691028,0.735294,0.435644,False
0.9,0.7,0.3,0.8006,0.970046,0.502,0.3504,0.1422,0.0054,0.948606,0.724315,0.483826,0.333333,False
0.7,0.8,0.9,0.8004,0.932435,0.6886,0.1726,0.0422,0.0966,0.877432,0.705678,0.71564,0.457557,False
0.8,0.7,0.8,0.8004,0.948431,0.6118,0.2588,0.0592,0.0702,0.907159,0.690108,0.618243,0.430199,False
0.8,0.7,0.6,0.8002,0.919718,0.6118,0.2588,0.0858,0.0436,0.907159,0.690108,0.564103,0.417431,True
0.9,0.6,0.8,0.8002,0.985184,0.502,0.3968,0.0438,0.0574,0.948606,0.691028,0.598173,0.41115,False
0.95,0.6,0.6,0.8002,1.027564,0.418,0.474,0.0704,0.0376,0.962679,0.724051,0.551136,0.420213,False
0.8,0.9,0.4,0.8,0.969847,0.6118,0.172,0.1972,0.019,0.907159,0.763954,0.53854,0.389474,False
