threshold_25,threshold_50,threshold_75,avg_flops_giga,accuracy
,,,0.491472,0.7434
,,,0.513569,0.7498
,,,0.548658,0.7624
,,,0.625778,0.7766
,,,0.71832,0.7908
,,,0.828606,0.7972
,,,0.958408,0.8042
,,,1.158875,0.8068
,,,1.321854,0.8078
,,,2.267331,0.8082
